date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_coach_nationality,away_coach_nationality,home_win,year,home_top5_league_count,home_connectivity,away_top5_league_count,away_connectivity,top5_league_count_diff,connectivity_diff,home_population,home_gdp_usd,home_gdp_per_capita,home_fifa_rank,away_population,away_gdp_usd,away_gdp_per_capita,away_fifa_rank,population_diff,gdp_usd_diff,gdp_per_capita_diff,fifa_rank_diff
2002-05-31,France,Senegal,0,1,FIFA World Cup,Seoul,South Korea,True,France,France,False,2002,23,10,17,12,6,-2,61364377,1377657339291.0,22450.44,1,10212942,6507824829.0,637.21,42,51151435,1371149514462.0,21813.23,-41
2002-06-01,Germany,Saudi Arabia,8,0,FIFA World Cup,Sapporo,Japan,True,Germany,Saudi Arabia,True,2002,23,26,0,0,23,26,82349925,1945790973803.0,23628.33,11,17041397,184137600000.0,10805.31,34,65308528,1761653373803.0,12823.020000000002,-23
2002-06-01,Republic of Ireland,Cameroon,1,1,FIFA World Cup,Niigata,Japan,True,Republic of Ireland,Germany,False,2002,17,9,13,1,4,8,3866243,109346669230.0,28282.41,15,15309490,10953485345.0,715.47,17,-11443247,98393183885.0,27566.94,-2
2002-06-01,Uruguay,Denmark,1,2,FIFA World Cup,Ulsan,South Korea,True,Uruguay,Denmark,False,2002,13,4,9,1,4,3,3274251,20898761742.0,6382.76,24,5358783,164791442543.0,30751.65,20,-2084532,-143892680801.0,-24368.89,4
2002-06-02,Argentina,Nigeria,1,0,FIFA World Cup,Kashima,Japan,True,Argentina,Nigeria,True,2002,18,8,6,1,12,7,37624825,268696750000.0,7141.48,2,129862595,73557840064.0,566.43,27,-92237770,195138909936.0,6575.049999999999,-25
2002-06-02,England,Sweden,1,1,FIFA World Cup,Saitama,Japan,True,Sweden,Sweden,False,2002,23,22,10,1,13,21,49837884,1418851446668.0,28469.34,12,8895960,242395852494.0,27247.86,19,40941924,1176455594174.0,1221.4799999999996,-7
2002-06-02,Paraguay,South Africa,2,2,FIFA World Cup,Busan,South Korea,True,Italy,South Africa,False,2002,2,0,4,0,-2,0,5187689,8495806432.0,1637.69,18,47566800,135429905923.0,2847.15,37,-42379111,-126934099491.0,-1209.46,-19
2002-06-02,Spain,Slovenia,3,1,FIFA World Cup,Gwangju,South Korea,True,Spain,Slovenia,True,2002,23,23,4,0,19,23,40850412,627830029412.0,15369.0,8,1992060,20876309970.0,10479.76,25,38858352,606953719442.0,4889.24,-17
2002-06-03,Brazil,Turkey,2,1,FIFA World Cup,Ulsan,South Korea,True,Brazil,Turkey,True,2002,10,0,10,2,0,-2,176301203,559983634799.0,3176.29,2,66245128,201753123807.0,3045.55,22,110056075,358230510992.0,130.73999999999978,-20
2002-06-03,Croatia,Mexico,0,1,FIFA World Cup,Niigata,Japan,True,Croatia,Mexico,False,2002,13,2,4,0,9,2,4299642,23062561237.0,5363.83,21,100099099,796064590656.0,7952.76,7,-95799457,-773002029419.0,-2588.9300000000003,14
2002-06-03,Italy,Ecuador,2,0,FIFA World Cup,Sapporo,Japan,True,Italy,Colombia,True,2002,23,32,1,0,22,32,56976981,1168023426056.0,20499.92,6,12910740,23127055000.0,1791.3,35,44066241,1144896371056.0,18708.62,-29
2002-06-04,China,Costa Rica,0,2,FIFA World Cup,Gwangju,South Korea,True,Yugoslavia,Costa Rica,False,2002,0,0,1,0,-1,0,1271850000,1339400897105.0,1053.11,50,4008947,15976174337.0,3985.13,29,1267841053,1323424722768.0,-2932.0200000000004,21
2002-06-04,Japan,Belgium,2,2,FIFA World Cup,Saitama,Japan,False,France,Belgium,False,2002,2,0,7,3,-5,-3,127149000,4374711694091.0,34406.18,32,10286570,236746141604.0,23015.07,23,116862430,4137965552487.0,11391.11,9
2002-06-04,South Korea,Poland,2,0,FIFA World Cup,Busan,South Korea,False,Netherlands,Poland,True,2002,1,0,8,1,-7,-1,47370164,547656279895.0,11561.21,40,38248076,190905493539.0,4991.24,38,9122088,356750786356.0,6569.969999999999,2
2002-06-05,Germany,Republic of Ireland,1,1,FIFA World Cup,Kashima,Japan,True,Germany,Republic of Ireland,False,2002,23,26,17,9,6,17,82349925,1945790973803.0,23628.33,11,3866243,109346669230.0,28282.41,15,78483682,1836444304573.0,-4654.079999999998,-4
2002-06-05,Russia,Tunisia,2,0,FIFA World Cup,Kobe,Japan,True,Russia,Tunisia,True,2002,5,1,2,0,3,1,145976482,306602070621.0,2100.35,27,9869677,22065832449.0,2235.72,30,136106805,284536238172.0,-135.3699999999999,-3
