tournament_id,team_id,team_name,year,top5_league_count,connectivity,population,gdp_usd,gdp_per_capita,fifa_rank
WC-2002,T-03,Argentina,2002,18,8,37624825,268696750000,7141.48,2
WC-2002,T-06,Belgium,2002,7,3,10286570,236746141604,23015.07,23
WC-2002,T-09,Brazil,2002,10,0,176301203,559983634799,3176.29,2
WC-2002,T-11,Cameroon,2002,13,1,15309490,10953485345,715.47,17
WC-2002,T-14,China,2002,0,0,1271850000,1339400897105,1053.11,50
WC-2002,T-17,Costa Rica,2002,1,0,4008947,15976174337,3985.13,29
WC-2002,T-18,Croatia,2002,13,2,4299642,23062561237,5363.83,21
WC-2002,T-22,Denmark,2002,9,1,5358783,164791442543,30751.65,20
WC-2002,T-25,Ecuador,2002,1,0,12910740,23127055000,1791.3,35
WC-2002,T-28,England,2002,23,22,49837884,1418851446668,28469.34,12
WC-2002,T-30,France,2002,23,10,61364377,1377657339291,22450.44,1
WC-2002,T-31,Germany,2002,23,26,82349925,1945790973803,23628.33,11
WC-2002,T-41,Italy,2002,23,32,56976981,1168023426056,20499.92,6
WC-2002,T-44,Japan,2002,2,0,127149000,4374711694091,34406.18,32
WC-2002,T-46,Mexico,2002,4,0,100099099,796064590656,7952.76,7
WC-2002,T-50,Nigeria,2002,6,1,129862595,73557840064,566.43,27
WC-2002,T-55,Paraguay,2002,2,0,5187689,8495806432,1637.69,18
WC-2002,T-57,Poland,2002,8,1,38248076,190905493539,4991.24,38
WC-2002,T-58,Portugal,2002,8,0,10362722,121604107165,11734.76,5
WC-2002,T-60,Republic of Ireland,2002,17,9,3866243,109346669230,28282.41,15
WC-2002,T-62,Russia,2002,5,1,145976482,306602070621,2100.35,27
WC-2002,T-63,Saudi Arabia,2002,0,0,17041397,184137600000,10805.31,34
WC-2002,T-65,Senegal,2002,17,12,10212942,6507824829,637.21,42
WC-2002,T-69,Slovenia,2002,4,0,1992060,20876309970,10479.76,25
WC-2002,T-70,South Africa,2002,4,0,47566800,135429905923,2847.15,37
WC-2002,T-71,South Korea,2002,1,0,47370164,547656279895,11561.21,40
WC-2002,T-73,Spain,2002,23,23,40850412,627830029412,15369.0,8
WC-2002,T-74,Sweden,2002,10,1,8895960,242395852494,27247.86,19
WC-2002,T-79,Tunisia,2002,2,0,9869677,22065832449,2235.72,30
WC-2002,T-80,Turkey,2002,10,2,66245128,201753123807,3045.55,22
WC-2002,T-83,United States,2002,8,0,284968955,10581929000000,37133.62,13
WC-2002,T-84,Uruguay,2002,13,4,3274251,20898761742,6382.76,24
WC-2006,T-02,Angola,2006,0,0,19291161,36970900884,1916.47,57
WC-2006,T-03,Argentina,2006,14,4,39216789,198737095012,5067.65,9
WC-2006,T-04,Australia,2006,8,1,20176844,695692898677,34479.77,42
WC-2006,T-09,Brazil,2006,16,11,184688101,891633839853,4827.78,1
