World Cup,Country,Player,Position,Club,Club Association,Top-5 League,Counted?
2002,Denmark,Thomas Sørensen,GK,Sunderland,England,Premier League,TRUE
2002,Denmark,Stig Tøfting,MF,Bolton Wanderers,England,Premier League,TRUE
2002,Denmark,René Henriksen,DF,Panathinaikos,Greece,,FALSE
2002,Denmark,Martin Laursen,DF,Milan,Italy,Serie A,TRUE
2002,Denmark,Jan Heintze (c),DF,PSV Eindhoven,Netherlands,,FALSE
2002,Denmark,Thomas Helveg,DF,Milan,Italy,Serie A,TRUE
2002,Denmark,Thomas Gravesen,MF,Everton,England,Premier League,TRUE
2002,Denmark,Jesper Grønkjær,MF,Chelsea,England,Premier League,TRUE
2002,Denmark,Jon Dahl Tomasson,FW,Feyenoord,Netherlands,,FALSE
2002,Denmark,Martin Jørgensen,MF,Udinese,Italy,Serie A,TRUE
2002,Denmark,Ebbe Sand,FW,Schalke 04,Germany,Bundesliga,TRUE
2002,Denmark,Niclas Jensen,DF,Manchester City,England,,FALSE
2002,Denmark,Steven Lustü,DF,Lyn,Norway,,FALSE
2002,Denmark,Claus Jensen,MF,Charlton Athletic,England,Premier League,TRUE
2002,Denmark,Jan Michaelsen,MF,Panathinaikos,Greece,,FALSE
2002,Denmark,Peter Kjær,GK,Aberdeen,Scotland,,FALSE
2002,Denmark,Christian Poulsen,MF,Copenhagen,Denmark,,FALSE
2002,Denmark,Peter Løvenkrands,FW,Rangers,Scotland,,FALSE
2002,Denmark,Dennis Rommedahl,MF,PSV Eindhoven,Netherlands,,FALSE
2002,Denmark,Kasper Bøgelund,DF,PSV Eindhoven,Netherlands,,FALSE
2002,Denmark,Peter Madsen,FW,Brøndby,Denmark,,FALSE
2002,Denmark,Jesper Christiansen,GK,Vejle,Denmark,,FALSE
2002,Denmark,Brian Steen Nielsen,MF,Malmö,Sweden,,FALSE
2002,France,Ulrich Ramé,GK,Bordeaux,France,Ligue 1,TRUE
2002,France,Vincent Candela,DF,Roma,Italy,Serie A,TRUE
2002,France,Bixente Lizarazu,DF,Bayern Munich,Germany,Bundesliga,TRUE
2002,France,Patrick Vieira,MF,Arsenal,England,Premier League,TRUE
2002,France,Philippe Christanval,DF,Barcelona,Spain,La Liga,TRUE
2002,France,Youri Djorkaeff,MF,Bolton Wanderers,England,Premier League,TRUE
2002,France,Claude Makélélé,MF,Real Madrid,Spain,La Liga,TRUE
2002,France,Marcel Desailly (c),DF,Chelsea,England,Premier League,TRUE
2002,France,Djibril Cissé,FW,Auxerre,France,Ligue 1,TRUE
2002,France,Zinedine Zidane,MF,Real Madrid,Spain,La Liga,TRUE
2002,France,Sylvain Wiltord,FW,Arsenal,England,Premier League,TRUE
2002,France,Thierry Henry,FW,Arsenal,England,Premier League,TRUE
2002,France,Mikaël Silvestre,DF,Manchester United,England,Premier League,TRUE
2002,France,Alain Boghossian,MF,Parma,Italy,Serie A,TRUE
2002,France,Lilian Thuram,DF,Juventus,Italy,Serie A,TRUE
2002,France,Fabien Barthez,GK,Manchester United,England,Premier League,TRUE
2002,France,Emmanuel Petit,MF,Chelsea,England,Premier League,TRUE
2002,France,Frank Leboeuf,DF,Marseille,France,Ligue 1,TRUE
2002,France,Willy Sagnol,DF,Bayern Munich,Germany,Bundesliga,TRUE
2002,France,David Trezeguet,FW,Juventus,Italy,Serie A,TRUE
2002,France,Christophe Dugarry,FW,Bordeaux,France,Ligue 1,TRUE
2002,France,Johan Micoud,MF,Parma,Italy,Serie A,TRUE
2002,France,Grégory Coupet,GK,Lyon,France,Ligue 1,TRUE
2002,Senegal,Tony Sylva,GK,Monaco,France,Ligue 1,TRUE
2002,Senegal,Omar Daf,DF,Sochaux,France,Ligue 1,TRUE
2002,Senegal,Pape Sarr,MF,Lens,France,Ligue 1,TRUE
2002,Senegal,Pape Malick Diop,DF,Lorient,France,Ligue 1,TRUE
2002,Senegal,Alassane N'Dour,DF,Saint-Étienne,France,,FALSE
2002,Senegal,Aliou Cissé (c),DF,Montpellier,France,Ligue 1,TRUE
2002,Senegal,Henri Camara,FW,Sedan,France,Ligue 1,TRUE
2002,Senegal,Amara Traoré,FW,Gueugnon,France,,FALSE
2002,Senegal,Souleymane Camara,FW,Monaco,France,Ligue 1,TRUE
2002,Senegal,Khalilou Fadiga,MF,Auxerre,France,Ligue 1,TRUE
2002,Senegal,El Hadji Diouf,FW,Lens,France,Ligue 1,TRUE
2002,Senegal,Amdy Faye,MF,Auxerre,France,Ligue 1,TRUE
2002,Senegal,Lamine Diatta,DF,Rennes,France,Ligue 1,TRUE
2002,Senegal,Moussa N'Diaye,MF,Sedan,France,Ligue 1,TRUE
2002,Senegal,Salif Diao,MF,Sedan,France,Ligue 1,TRUE
2002,Senegal,Omar Diallo,GK,Olympique Khouribga,Morocco,,FALSE
2002,Senegal,Ferdinand Coly,DF,Lens,France,Ligue 1,TRUE
2002,Senegal,Pape Thiaw,FW,Strasbourg,France,,FALSE
2002,Senegal,Papa Bouba Diop,MF,Lens,France,Ligue 1,TRUE
2002,Senegal,Sylvain N'Diaye,MF,Lille,France,Ligue 1,TRUE
2002,Senegal,Habib Beye,DF,Strasbourg,France,,FALSE
2002,Senegal,Kalidou Cissokho,GK,Jeanne d'Arc,Senegal,,FALSE
